2025-06-27T01:15:06.424Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:15:11.448Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:15:16.498Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:15:21.515Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:15:26.528Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:15:31.554Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:15:36.582Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:15:41.614Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:15:46.641Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:15:51.660Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:15:56.682Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:16:01.709Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:16:06.741Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:16:11.768Z - Temperature: 27.6, Humidity: 61
2025-06-27T01:16:16.792Z - Temperature: 27.7, Humidity: 61
2025-06-27T01:16:21.818Z - Temperature: 28, Humidity: 60
2025-06-27T01:16:26.842Z - Temperature: 28, Humidity: 60
2025-06-27T01:16:31.869Z - Temperature: 28, Humidity: 60
2025-06-27T01:16:36.896Z - Temperature: 28, Humidity: 60
2025-06-27T01:16:41.923Z - Temperature: 28, Humidity: 60
2025-06-27T01:16:47.029Z - Temperature: 28, Humidity: 60
2025-06-27T01:16:51.977Z - Temperature: 28, Humidity: 60
2025-06-27T01:16:56.997Z - Temperature: 28, Humidity: 60
2025-06-27T01:17:02.024Z - Temperature: 28, Humidity: 60
2025-06-27T01:17:07.052Z - Temperature: 28, Humidity: 60
2025-06-27T01:17:12.078Z - Temperature: 28, Humidity: 60
2025-06-27T01:17:17.102Z - Temperature: 28, Humidity: 60
2025-06-27T01:17:22.128Z - Temperature: 28, Humidity: 60
2025-06-27T01:17:27.158Z - Temperature: 28, Humidity: 60
2025-06-27T01:17:32.185Z - Temperature: 28, Humidity: 60
2025-06-27T01:17:37.203Z - Temperature: 28, Humidity: 59
2025-06-27T01:17:42.234Z - Temperature: 28, Humidity: 59
2025-06-27T01:17:47.260Z - Temperature: 28, Humidity: 59
2025-06-27T01:17:52.285Z - Temperature: 28, Humidity: 59
2025-06-27T01:17:57.384Z - Temperature: 28, Humidity: 59
2025-06-27T01:18:02.338Z - Temperature: 28, Humidity: 59
2025-06-27T01:18:07.541Z - Temperature: 28, Humidity: 59
2025-06-27T01:18:12.391Z - Temperature: 28, Humidity: 59
2025-06-27T01:18:17.414Z - Temperature: 28, Humidity: 59
